Name,Address,total_enrollment_fall_2019,vaccination_required_everyone,Latitude,Longitude,City,State,County,Zip
Cleveland Institute of Music,"11021 East Blvd, Cleveland, Ohio 44106-1776",373,NO,41.512248,-81.609368,Cleveland,OH,Cuyahoga County,44106
Gods Bible School and College,"1810 Young Street, Cincinnati, Ohio 45202-6838",347,NO,39.11548,-84.506196,Cincinnati,OH,Hamilton County,45202
Ohio Valley University,"1 Campus View Drive, Vienna, West Virginia 26105-8000",318,NO,39.312456,-81.536646,Vienna,WV,Wood County,26105
Appalachian Bible College,"161 College Drive, Mount Hope, West Virginia 25880-9557",227,NO,37.85273,-81.198727,Mount Hope,WV,Raleigh County,25880
Art Academy of Cincinnati,"1212 Jackson Street, Cincinnati, Ohio 45202-1706",219,NO,39.108998,-84.51398,Cincinnati,OH,Hamilton County,45202
Athenaeum of Ohio,"6616 Beechmont Ave, Cincinnati, Ohio 45230-2091",192,NO,39.084667,-84.372707,Cincinnati,OH,Hamilton County,45230
Payne Theological Seminary,"1230 Wilberforce-Clifton Rd., Wilberforce, Ohio 45384",190,NO,39.71539,-83.885287,Wilberforce,OH,Greene County,45384
Louisville Presbyterian Theological Seminary,"1044 Alta Vista Rd, Louisville, Kentucky 40205-1798",152,NO,38.237058,-85.685512,Louisville,KY,Jefferson County,40205
Methodist Theological School in Ohio,"3081 Columbus Pike, Delaware, Ohio 43015-3211",130,NO,40.253776,-83.060139,Delaware,OH,Delaware County,43015
Clear Creek Baptist Bible College,"300 Clear Creek Rd, Pineville, Kentucky 40977-9752",123,NO,36.715863,-83.766776,Pineville,KY,Bell County,40977
Pontifical College Josephinum,"7625 N High Street, Columbus, Ohio 43235-1499",106,NO,40.119464,-83.019807,Columbus,OH,Franklin County,43235
Antioch College,"1 Morgan Pl, Yellow Springs, Ohio 45387",95,NO,39.799855,-83.888347,Yellow Springs,OH,Greene County,45387
Kentucky Mountain Bible College,"855 Hwy 541, Jackson, Kentucky 41339",72,NO,37.603405,-83.425195,Jackson,KY,Breathitt County,41339
Allegheny Wesleyan College,"2161 Woodsdale Rd, Salem, Ohio 44460-9598",68,NO,40.866902,-80.862155,Salem,OH,Columbiana County,44460
Rabbinical College Telshe,"28400 Euclid Ave, Wickliffe, Ohio 44092",54,NO,41.592894,-81.483278,Wickliffe,OH,Lake County,44092
